# zd=0.184
# h=0.7 Omega_m=0.3 Omega_r=0.0 Omega_v=0.7
# x y timedelay z
# beta = [-5.52035257 -3.94078928]
-18.944 -49.827 8243.653 3.118
-42.556 -37.333 7841.506 3.118
57.020 -4.197 0.000 3.118
-5.279 -2.211 15225.446 3.118
-22.683 20.534 12528.638 3.118

# beta = [1.23414601 1.40704487]
-29.485 -24.439 29202.386 5.421
-14.466 -12.438 29661.404 5.421
68.247 15.547 0.000 5.421

# beta = [-18.73244197  -8.48296409]
-75.745 -34.957 0.000 4.909
10.602 8.088 30634.432 4.909
12.231 9.994 30628.358 4.909

# beta = [-4.67941033 -1.19588233]
-17.504 -46.475 13465.884 4.691
-49.101 -19.582 12326.805 4.691
-6.546 -5.272 17838.396 4.691
60.022 7.334 0.000 4.691
-31.456 17.295 13871.687 4.691

# beta = [-14.08355835   6.38582622]
-61.995 20.906 0.000 1.870
-43.124 45.858 521.043 1.870
-18.204 55.281 30.624 1.870

# beta = [-5.76510717  1.75126843]
-10.560 -41.774 15973.814 5.407
-6.721 -10.333 18092.277 5.407
-51.377 0.749 11433.334 5.407
-39.600 16.932 11634.292 5.407
55.795 22.709 0.000 5.407

# beta = [-17.28003202  -7.47634998]
-71.778 -32.262 0.000 3.511
5.004 3.212 26445.787 3.511
16.135 16.015 26081.416 3.511

# beta = [-6.78258193 -5.4432666 ]
-11.617 -53.808 4319.431 2.303
-42.610 -39.741 3631.490 2.303
51.481 -18.077 0.000 2.303
-3.733 -0.650 12894.760 2.303
-15.429 23.382 10817.868 2.303

